epoch,duration,loss,accuracy,tp,tn,fp,fn,precision,recall,auc,val_loss,val_accuracy,val_tp,val_tn,val_fp,val_fn,val_prosision,val_recall,val_auc
36, 401s 140ms/step ,1.461,0.5675,37747,13400198,11641,53490,0.7643,0.4137,0.9785,14.3618,0.0339,171,1665670,3956,11187,0.0414,0.0151,0.587
37, 391s 137ms/step ,1.4162,0.5817,39348,13400111,11728,51889,0.7704,0.4313,0.9794,13.7697,0.032,177,1666089,3537,11181,0.0477,0.0156,0.5932
38, 397s 139ms/step ,1.3758,0.5946,41035,13399919,11920,50202,0.7749,0.4498,0.9796,15.0219,0.0357,229,1665482,4144,11129,0.0524,0.0202,0.5879
39, 414s 145ms/step ,1.3705,0.6003,41618,13399812,12027,49619,0.7758,0.4562,0.9794,14.4991,0.035,196,1665662,3964,11162,0.0471,0.0173,0.5928
40, 407s 142ms/step ,1.3154,0.6145,43459,13399784,12055,47778,0.7828,0.4763,0.9806,14.3868,0.036,196,1665645,3981,11162,0.0469,0.0173,0.5911
41, 372s 130ms/step ,1.2839,0.6237,44638,13399640,12199,46599,0.7854,0.4893,0.9809,15.6968,0.0331,208,1665146,4480,11150,0.0444,0.0183,0.5865
42, 368s 129ms/step ,1.254,0.6335,46060,13399392,12447,45177,0.7873,0.5048,0.9813,15.5174,0.0356,206,1665230,4396,11152,0.0448,0.0181,0.5857
43, 362s 127ms/step ,1.2276,0.6423,47174,13399406,12433,44063,0.7914,0.517,0.9823,16.2612,0.0342,215,1664870,4756,11143,0.0433,0.0189,0.5845
44, 384s 135ms/step ,1.2171,0.6447,47831,13399255,12584,43406,0.7917,0.5243,0.9821,16.7606,0.0362,237,1664665,4961,11121,0.0456,0.0209,0.5822
45, 369s 129ms/step ,1.168,0.6579,49335,13399512,12327,41902,0.8001,0.5407,0.983,16.6737,0.0324,206,1664713,4913,11152,0.0402,0.0181,0.5836
46, 365s 128ms/step ,1.1688,0.6586,49735,13399193,12646,41502,0.7973,0.5451,0.9827,16.3615,0.0339,205,1664845,4781,11153,0.0411,0.018,0.5836
47, 369s 129ms/step ,1.121,0.6745,51444,13399506,12333,39793,0.8066,0.5639,0.9835,17.9091,0.0352,226,1664250,5376,11132,0.0403,0.0199,0.5801
48, 366s 128ms/step ,1.1056,0.6781,52234,13399463,12376,39003,0.8085,0.5725,0.9836,16.9779,0.0323,212,1664567,5059,11146,0.0402,0.0187,0.5795
49, 433s 152ms/step ,1.0706,0.6885,53492,13399537,12302,37745,0.813,0.5863,0.9844,17.4058,0.032,217,1664365,5261,11141,0.0396,0.0191,0.5783
50, 406s 142ms/step ,1.0819,0.6871,53383,13399310,12529,37854,0.8099,0.5851,0.9837,18.0076,0.0336,232,1664211,5415,11126,0.0411,0.0204,0.5756
51, 395s 139ms/step ,1.0379,0.6976,54848,13399416,12423,36389,0.8153,0.6012,0.9843,18.4866,0.0332,239,1664066,5560,11119,0.0412,0.021,0.5761
52, 386s 135ms/step ,1.0056,0.708,56239,13399639,12200,34998,0.8217,0.6164,0.9855,17.6262,0.0312,210,1664477,5149,11148,0.0392,0.0185,0.578
53, 388s 136ms/step ,1.0839,0.697,54776,13399499,12340,36461,0.8161,0.6004,0.983,18.2934,0.0319,228,1664118,5508,11130,0.0397,0.0201,0.574
54, 399s 140ms/step ,0.9725,0.718,57439,13399740,12099,33798,0.826,0.6296,0.9857,19.6657,0.0346,266,1663609,6017,11092,0.0423,0.0234,0.5726
55, 394s 138ms/step ,0.9643,0.7201,57963,13399587,12252,33274,0.8255,0.6353,0.9857,18.7131,0.0337,259,1663971,5655,11099,0.0438,0.0228,0.5743
56, 389s 136ms/step ,0.9566,0.722,58312,13399481,12358,32925,0.8251,0.6391,0.9856,19.2933,0.0357,260,1663764,5862,11098,0.0425,0.0229,0.5708
57, 394s 138ms/step ,0.9473,0.7245,58708,13399597,12242,32529,0.8275,0.6435,0.9859,19.7602,0.0341,250,1663613,6013,11108,0.0399,0.022,0.5721
