epoch,duration,loss,accuracy,tp,tn,fp,fn,precision,recall,auc,val_loss,val_accuracy,val_tp,val_tn,val_fp,val_fn,val_prosision,val_recall,val_auc
39, 67s 689ms/step ,0.3953,0.8881,2499,101809,181,415,0.9325,0.8576,0.9944,4.2981,0.5737,311,19574,131,252,0.7036,0.5524,0.8217
40, 63s 652ms/step ,0.3344,0.9015,2554,101838,152,360,0.9438,0.8765,0.9953,4.4992,0.5844,325,19564,141,238,0.6974,0.5773,0.8274
41, 64s 654ms/step ,0.335,0.8995,2556,101821,169,358,0.938,0.8771,0.9952,5.3901,0.5826,322,19554,151,241,0.6808,0.5719,0.7941
42, 62s 635ms/step ,0.3924,0.9001,2561,101807,183,353,0.9333,0.8789,0.9926,3.8898,0.5861,326,19571,134,237,0.7087,0.579,0.828
43, 62s 639ms/step ,0.3685,0.9097,2583,101825,165,331,0.94,0.8864,0.9942,4.5387,0.5861,325,19572,133,238,0.7096,0.5773,0.8167
44, 61s 629ms/step ,0.3057,0.9166,2610,101838,152,304,0.945,0.8957,0.995,4.4717,0.5879,326,19565,140,237,0.6996,0.579,0.8107
45, 61s 626ms/step ,0.232,0.9283,2646,101864,126,268,0.9545,0.908,0.9964,4.5854,0.5861,329,19556,149,234,0.6883,0.5844,0.8158
46, 68s 706ms/step ,0.3097,0.917,2621,101819,171,293,0.9388,0.8995,0.9937,4.5598,0.5897,323,19568,137,240,0.7022,0.5737,0.8056
47, 73s 756ms/step ,0.301,0.9228,2628,101827,163,286,0.9416,0.9019,0.9941,4.9832,0.5861,327,19546,159,236,0.6728,0.5808,0.7985
48, 66s 663ms/step ,0.3127,0.9173,2618,101818,172,296,0.9384,0.8984,0.994,4.9869,0.579,320,19560,145,243,0.6882,0.5684,0.7933
49, 61s 633ms/step ,0.2735,0.9269,2655,101840,150,259,0.9465,0.9111,0.9952,4.8342,0.5666,313,19554,151,250,0.6746,0.556,0.8088
50, 64s 659ms/step ,0.4161,0.918,2622,101825,165,292,0.9408,0.8998,0.9921,4.5042,0.5737,319,19574,131,244,0.7089,0.5666,0.8044
51, 61s 628ms/step ,0.2691,0.9379,2696,101865,125,218,0.9557,0.9252,0.9951,3.6703,0.5933,331,19573,132,232,0.7149,0.5879,0.8296
52, 65s 668ms/step ,0.1713,0.9533,2745,101894,96,169,0.9662,0.942,0.9969,4.281,0.5755,322,19560,145,241,0.6895,0.5719,0.8073
53, 63s 653ms/step ,0.1382,0.9592,2757,101899,91,157,0.968,0.9461,0.9977,4.1354,0.5773,325,19567,138,238,0.7019,0.5773,0.8097
54, 66s 685ms/step ,0.161,0.9568,2761,101889,101,153,0.9647,0.9475,0.9964,4.1334,0.5808,326,19555,150,237,0.6849,0.579,0.8161
55, 70s 729ms/step ,0.1716,0.9454,2718,101870,120,196,0.9577,0.9327,0.9972,4.2375,0.579,325,19558,147,238,0.6886,0.5773,0.8154
56, 75s 776ms/step ,0.1026,0.966,2793,101911,79,121,0.9725,0.9585,0.9997,5.084,0.5773,323,19544,161,240,0.6674,0.5737,0.796
57, 64s 656ms/step ,0.1778,0.9574,2765,101899,91,149,0.9681,0.9489,0.9973,3.9513,0.5826,324,19579,126,239,0.72,0.5755,0.8163
58, 63s 654ms/step ,0.153,0.9647,2782,101909,81,132,0.9717,0.9547,0.9977,4.1362,0.579,323,19569,136,240,0.7037,0.5737,0.8196
59, 67s 698ms/step ,0.171,0.9574,2769,101896,94,145,0.9672,0.9502,0.9976,4.3446,0.579,326,19574,131,237,0.7133,0.579,0.8005
60, 66s 685ms/step ,0.1784,0.9475,2736,101863,127,178,0.9556,0.9389,0.9969,4.158,0.5915,331,19559,146,232,0.6939,0.5879,0.8275
61, 65s 668ms/step ,0.1551,0.9602,2768,101896,94,146,0.9672,0.9499,0.997,4.4025,0.5933,333,19570,135,230,0.7115,0.5915,0.8111
62, 69s 721ms/step ,0.2144,0.9386,2701,101857,133,213,0.9531,0.9269,0.996,4.2061,0.579,325,19569,136,238,0.705,0.5773,0.799
63, 67s 693ms/step ,0.1383,0.9612,2779,101903,87,135,0.9696,0.9537,0.9984,5.2813,0.5826,327,19560,145,236,0.6928,0.5808,0.7928
64, 68s 705ms/step ,0.131,0.9612,2782,101900,90,132,0.9687,0.9547,0.9977,4.0518,0.5933,331,19558,147,232,0.6925,0.5879,0.8242
65, 70s 722ms/step ,0.228,0.953,2755,101874,116,159,0.9596,0.9454,0.9962,3.7609,0.6004,334,19572,133,229,0.7152,0.5933,0.8394
66, 65s 675ms/step ,0.1533,0.9585,2772,101898,92,142,0.9679,0.9513,0.9971,5.3161,0.5808,325,19551,154,238,0.6785,0.5773,0.7956
67, 63s 651ms/step ,0.1602,0.9674,2806,101918,72,108,0.975,0.9629,0.9972,4.9723,0.5773,325,19560,145,238,0.6915,0.5773,0.8082
68, 65s 677ms/step ,0.1933,0.9492,2739,101889,101,175,0.9644,0.9399,0.9967,3.6674,0.6092,337,19583,122,226,0.7342,0.5986,0.8409
69, 64s 656ms/step ,0.1079,0.9671,2802,101909,81,112,0.9719,0.9616,0.9983,3.5111,0.6128,340,19571,134,223,0.7173,0.6039,0.8549
70, 62s 638ms/step ,0.1184,0.965,2794,101903,87,120,0.9698,0.9588,0.9976,4.6265,0.5933,333,19558,147,230,0.6938,0.5915,0.8182
71, 65s 676ms/step ,0.1672,0.9629,2795,101902,88,119,0.9695,0.9592,0.9958,4.1331,0.5933,332,19553,152,231,0.686,0.5897,0.8286
72, 66s 683ms/step ,0.17,0.9647,2796,101918,72,118,0.9749,0.9595,0.9968,4.4713,0.5879,329,19556,149,234,0.6883,0.5844,0.7982
73, 66s 685ms/step ,0.1987,0.954,2753,101878,112,161,0.9609,0.9447,0.9971,4.296,0.5915,331,19556,149,232,0.6896,0.5879,0.8243
74, 64s 658ms/step ,0.1434,0.9616,2786,101901,89,128,0.969,0.9561,0.9977,4.9107,0.5861,328,19570,135,235,0.7084,0.5826,0.8004
75, 61s 627ms/step ,0.0986,0.9725,2823,101931,59,91,0.9795,0.9688,0.998,4.7873,0.5808,327,19544,161,236,0.6701,0.5808,0.815
76, 65s 677ms/step ,0.1356,0.9657,2803,101902,88,111,0.9696,0.9619,0.9971,5.3649,0.5844,329,19563,142,234,0.6985,0.5844,0.809
77, 66s 676ms/step ,0.1265,0.9657,2799,101908,82,115,0.9715,0.9605,0.9972,4.1748,0.5844,328,19580,125,235,0.7241,0.5826,0.8319
78, 66s 682ms/step ,0.153,0.9605,2790,101905,85,124,0.9704,0.9574,0.9967,4.5444,0.5844,328,19575,130,235,0.7162,0.5826,0.8219
79, 66s 680ms/step ,0.1734,0.9581,2761,101900,90,153,0.9684,0.9475,0.9964,5.6113,0.5844,328,19562,143,235,0.6964,0.5826,0.7924
80, 64s 659ms/step ,0.2076,0.9482,2740,101878,112,174,0.9607,0.9403,0.995,4.3414,0.5826,326,19573,132,237,0.7118,0.579,0.8062
81, 64s 662ms/step ,0.2038,0.9595,2777,101894,96,137,0.9666,0.953,0.9953,4.3673,0.5808,325,19562,143,238,0.6944,0.5773,0.8104
82, 65s 670ms/step ,0.1961,0.9526,2761,101882,108,153,0.9624,0.9475,0.9957,4.128,0.5844,326,19564,141,237,0.6981,0.579,0.8288
83, 65s 673ms/step ,0.212,0.9533,2761,101886,104,153,0.9637,0.9475,0.995,4.8219,0.5755,324,19557,148,239,0.6864,0.5755,0.792
84, 65s 673ms/step ,0.0892,0.9739,2826,101927,63,88,0.9782,0.9698,0.9989,5.44,0.5808,326,19559,146,237,0.6907,0.579,0.7915
85, 67s 695ms/step ,0.1432,0.964,2793,101905,85,121,0.9705,0.9585,0.9969,4.7934,0.5808,327,19570,135,236,0.7078,0.5808,0.8046
86, 65s 667ms/step ,0.0792,0.9774,2840,101940,50,74,0.9827,0.9746,0.9986,4.8204,0.5808,325,19560,145,238,0.6915,0.5773,0.8018
87, 65s 673ms/step ,0.0956,0.9732,2828,101924,66,86,0.9772,0.9705,0.998,4.8414,0.5826,327,19556,149,236,0.687,0.5808,0.8008
88, 65s 674ms/step ,0.1284,0.965,2798,101901,89,116,0.9692,0.9602,0.9977,4.9645,0.579,320,19555,150,243,0.6809,0.5684,0.793
89, 64s 661ms/step ,0.1358,0.9664,2797,101912,78,117,0.9729,0.9598,0.9972,5.1621,0.5844,328,19561,144,235,0.6949,0.5826,0.7972
90, 65s 678ms/step ,0.1332,0.9664,2805,101909,81,109,0.9719,0.9626,0.9971,4.2201,0.5844,328,19553,152,235,0.6833,0.5826,0.8182
91, 66s 683ms/step ,0.1719,0.9623,2791,101901,89,123,0.9691,0.9578,0.9964,4.4406,0.579,324,19565,140,239,0.6983,0.5755,0.8075
92, 70s 704ms/step ,0.1207,0.9701,2812,101918,72,102,0.975,0.965,0.9974,4.8239,0.595,333,19568,137,230,0.7085,0.5915,0.8012
93, 64s 666ms/step ,0.1075,0.9708,2819,101920,70,95,0.9758,0.9674,0.998,4.759,0.5844,327,19559,146,236,0.6913,0.5808,0.8085
94, 388s 4s/step ,0.1512,0.9626,2789,101907,83,125,0.9711,0.9571,0.9976,4.5286,0.5968,336,19556,149,227,0.6928,0.5968,0.8137
95, 64s 667ms/step ,0.0916,0.9743,2829,101926,64,85,0.9779,0.9708,0.998,5.6882,0.5933,327,19558,147,236,0.6899,0.5808,0.7907
96, 61s 633ms/step ,0.0854,0.9753,2832,101930,60,82,0.9793,0.9719,0.9982,4.6419,0.595,334,19580,125,229,0.7277,0.5933,0.7982
,,,,,,,,,,,,,,,,,,,
, 50s 518ms/step ,0.0941,0.9701,2818,101922,68,96,0.9764,0.9671,0.9983,4.9255,0.5808,324,19554,151,239,0.6821,0.5755,0.7979
,,,,,,,,,,,,,,,,,,,
, 49s 503ms/step ,0.1948,0.9598,2786,101897,93,128,0.9677,0.9561,0.9946,4.5373,0.5879,327,19579,126,236,0.7219,0.5808,0.8135
,,,,,,,,,,,,,,,,,,,
, 49s 502ms/step ,0.1092,0.9701,2814,101924,66,100,0.9771,0.9657,0.9978,3.8689,0.5879,327,19573,132,236,0.7124,0.5808,0.82
,,,,,,,,,,,,,,,,,,,
, 48s 500ms/step ,0.0921,0.9708,2825,101917,73,89,0.9748,0.9695,0.9985,4.1238,0.5808,326,19576,129,237,0.7165,0.579,0.8245
